Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
2018-06-20T19:10:57.581+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,EB1ED20D-BD74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:11:04.768+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,EB1ED20D-BD74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:11:43.257+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,EB1ED20D-BD74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:11:59.058+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,EB1ED20D-BD74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:12:07.929+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,EB1ED20D-BD74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:12:13.054+0000,200,0,,,,0:0:0:0:0:0:0:1,POST,authenticateAPI,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:12:15.191+0000,200,0,,,,0:0:0:0:0:0:0:1,POST,login,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:16:46.441+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,7138D1D6-BD74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:16:49.189+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,7138D1D6-BD74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:19:01.803+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,7138D1D6-BD74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:41:47.321+0000,200,0,,,,0:0:0:0:0:0:0:1,POST,authenticateAPI,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:41:49.967+0000,200,0,,,,0:0:0:0:0:0:0:1,POST,login,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:42:04.967+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,D1509EF7-C174-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
